,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Day_of_Year,Year,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
0,-114.01,51.12,CALGARY INTL A,3031092,2016-01-01,1,2016,1,1.2,-12.0,-5.4,23.4,0.0,0.0,0.0,0.0
1,-114.01,51.12,CALGARY INTL A,3031092,2016-01-02,2,2016,2,-1.6,-16.8,-9.2,27.2,0.0,0.0,0.0,0.0
2,-114.01,51.12,CALGARY INTL A,3031092,2016-01-03,3,2016,3,-2.7,-16.3,-9.5,27.5,0.0,0.0,0.0,0.0
3,-114.01,51.12,CALGARY INTL A,3031092,2016-01-04,4,2016,4,-2.0,-12.9,-7.5,25.5,0.0,0.0,0.0,0.0
4,-114.01,51.12,CALGARY INTL A,3031092,2016-01-05,5,2016,5,-7.1,-13.8,-10.5,28.5,0.0,0.0,0.0,0.0
5,-114.01,51.12,CALGARY INTL A,3031092,2016-01-06,6,2016,6,-8.6,-16.6,-12.6,30.6,0.0,0.0,0.0,0.0
6,-114.01,51.12,CALGARY INTL A,3031092,2016-01-07,7,2016,7,-9.5,-15.6,-12.6,30.6,0.0,0.0,4.8,3.2
7,-114.01,51.12,CALGARY INTL A,3031092,2016-01-08,8,2016,8,-13.1,-22.3,-17.7,35.7,0.0,0.0,0.0,0.0
8,-114.01,51.12,CALGARY INTL A,3031092,2016-01-09,9,2016,9,-5.0,-25.5,-15.3,33.3,0.0,0.0,0.0,0.0
9,-114.01,51.12,CALGARY INTL A,3031092,2016-01-10,10,2016,10,-1.0,-16.2,-8.6,26.6,0.0,0.0,0.0,0.0
10,-114.01,51.12,CALGARY INTL A,3031092,2016-01-11,11,2016,11,-2.1,-10.0,-6.1,24.1,0.0,0.0,0.0,0.0
11,-114.01,51.12,CALGARY INTL A,3031092,2016-01-12,12,2016,12,6.3,-9.9,-1.8,19.8,0.0,0.0,0.0,0.0
12,-114.01,51.12,CALGARY INTL A,3031092,2016-01-13,13,2016,13,8.7,-4.7,2.0,16.0,0.0,0.0,0.0,0.0
13,-114.01,51.12,CALGARY INTL A,3031092,2016-01-14,14,2016,14,1.1,-3.8,-1.4,19.4,0.0,0.0,0.4,0.4
14,-114.01,51.12,CALGARY INTL A,3031092,2016-01-15,15,2016,15,-3.7,-12.7,-8.2,26.2,0.0,0.0,2.3,1.7
15,-114.01,51.12,CALGARY INTL A,3031092,2016-01-16,16,2016,16,-12.7,-17.5,-15.1,33.1,0.0,0.2,1.0,1.0
16,-114.01,51.12,CALGARY INTL A,3031092,2016-01-17,17,2016,17,-12.3,-17.9,-15.1,33.1,0.0,0.0,0.4,0.2
17,-114.01,51.12,CALGARY INTL A,3031092,2016-01-18,18,2016,18,5.0,-12.3,-3.7,21.7,0.0,0.0,0.0,0.0
18,-114.01,51.12,CALGARY INTL A,3031092,2016-01-19,19,2016,19,5.3,-9.8,-2.3,20.3,0.0,0.0,0.0,0.0
19,-114.01,51.12,CALGARY INTL A,3031092,2016-01-20,20,2016,20,-6.1,-11.2,-8.7,26.7,0.0,0.0,0.2,0.2
20,-114.01,51.12,CALGARY INTL A,3031092,2016-01-21,21,2016,21,3.0,-12.5,-4.8,22.8,0.0,0.0,0.0,0.0
21,-114.01,51.12,CALGARY INTL A,3031092,2016-01-22,22,2016,22,9.4,-4.8,2.3,15.7,0.0,0.0,0.0,0.0
22,-114.01,51.12,CALGARY INTL A,3031092,2016-01-23,23,2016,23,5.7,-4.9,0.4,17.6,0.0,0.0,0.0,0.2
23,-114.01,51.12,CALGARY INTL A,3031092,2016-01-24,24,2016,24,-0.2,-10.5,-5.4,23.4,0.0,0.0,6.2,5.2
24,-114.01,51.12,CALGARY INTL A,3031092,2016-01-25,25,2016,25,1.8,-13.5,-5.9,23.9,0.0,0.0,0.0,0.0
25,-114.01,51.12,CALGARY INTL A,3031092,2016-01-26,26,2016,26,10.4,-7.5,1.5,16.5,0.0,0.0,0.0,0.0
26,-114.01,51.12,CALGARY INTL A,3031092,2016-01-27,27,2016,27,11.0,0.7,5.9,12.1,0.0,0.0,0.0,0.0
27,-114.01,51.12,CALGARY INTL A,3031092,2016-01-28,28,2016,28,12.8,0.4,6.6,11.4,0.0,0.0,0.0,0.0
28,-114.01,51.12,CALGARY INTL A,3031092,2016-01-29,29,2016,29,5.8,-1.1,2.4,15.6,0.0,0.0,0.0,0.0
29,-114.01,51.12,CALGARY INTL A,3031092,2016-01-30,30,2016,30,2.9,-1.7,0.6,17.4,0.0,0.0,0.0,0.0
30,-114.01,51.12,CALGARY INTL A,3031092,2016-01-31,31,2016,31,2.2,-2.7,-0.3,18.3,0.0,0.0,0.0,0.0
31,-114.01,51.12,CALGARY INTL A,3031092,2016-02-01,32,2016,1,-0.1,-5.8,-3.0,21.0,0.0,0.0,0.0,0.0
32,-114.01,51.12,CALGARY INTL A,3031092,2016-02-02,33,2016,2,-1.6,-9.8,-5.7,23.7,0.0,0.0,0.0,0.0
33,-114.01,51.12,CALGARY INTL A,3031092,2016-02-03,34,2016,3,-0.6,-10.9,-5.8,23.8,0.0,0.0,0.0,0.0
34,-114.01,51.12,CALGARY INTL A,3031092,2016-02-04,35,2016,4,5.8,-5.1,0.4,17.6,0.0,0.0,0.0,0.0
35,-114.01,51.12,CALGARY INTL A,3031092,2016-02-05,36,2016,5,10.0,1.7,5.9,12.1,0.0,0.0,0.0,0.0
