,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Day_of_Year,Year,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
0,-114.01,51.12,CALGARY INTL A,3031092,2021-01-01,1,2021,1,3.4,-6.0,-1.3,19.3,0.0,0.0,0.0,0.0
1,-114.01,51.12,CALGARY INTL A,3031092,2021-01-02,2,2021,2,8.4,-6.6,0.9,17.1,0.0,0.0,0.0,0.0
2,-114.01,51.12,CALGARY INTL A,3031092,2021-01-03,3,2021,3,5.3,-6.6,-0.7,18.7,0.0,0.0,0.0,0.0
3,-114.01,51.12,CALGARY INTL A,3031092,2021-01-04,4,2021,4,3.4,-7.3,-2.0,20.0,0.0,0.0,0.0,0.0
4,-114.01,51.12,CALGARY INTL A,3031092,2021-01-05,5,2021,5,4.9,-3.1,0.9,17.1,0.0,0.0,0.0,0.0
5,-114.01,51.12,CALGARY INTL A,3031092,2021-01-06,6,2021,6,5.2,-6.8,-0.8,18.8,0.0,0.0,0.0,0.0
6,-114.01,51.12,CALGARY INTL A,3031092,2021-01-07,7,2021,7,3.7,-9.0,-2.7,20.7,0.0,0.0,0.0,0.0
7,-114.01,51.12,CALGARY INTL A,3031092,2021-01-08,8,2021,8,-1.7,-15.0,-8.4,26.4,0.0,0.0,0.0,0.0
8,-114.01,51.12,CALGARY INTL A,3031092,2021-01-09,9,2021,9,-0.1,-12.5,-6.3,24.3,0.0,0.0,0.0,0.0
9,-114.01,51.12,CALGARY INTL A,3031092,2021-01-10,10,2021,10,7.7,-13.7,-3.0,21.0,0.0,0.0,0.0,0.0
10,-114.01,51.12,CALGARY INTL A,3031092,2021-01-11,11,2021,11,8.7,-1.1,3.8,14.2,0.0,0.0,0.0,0.0
11,-114.01,51.12,CALGARY INTL A,3031092,2021-01-12,12,2021,12,8.2,-2.3,3.0,15.0,0.0,0.0,0.0,0.0
12,-114.01,51.12,CALGARY INTL A,3031092,2021-01-13,13,2021,13,7.5,-0.2,3.7,14.3,0.0,0.2,0.0,0.2
13,-114.01,51.12,CALGARY INTL A,3031092,2021-01-14,14,2021,14,1.8,-6.8,-2.5,20.5,0.0,0.0,0.0,0.0
14,-114.01,51.12,CALGARY INTL A,3031092,2021-01-15,15,2021,15,8.7,-7.8,0.5,17.5,0.0,0.0,0.0,0.0
15,-114.01,51.12,CALGARY INTL A,3031092,2021-01-16,16,2021,16,5.2,-2.0,1.6,16.4,0.0,0.0,0.0,0.0
16,-114.01,51.12,CALGARY INTL A,3031092,2021-01-17,17,2021,17,6.8,-2.7,2.1,15.9,0.0,0.0,0.0,0.0
17,-114.01,51.12,CALGARY INTL A,3031092,2021-01-18,18,2021,18,2.9,-5.8,-1.5,19.5,0.0,0.0,0.0,0.0
18,-114.01,51.12,CALGARY INTL A,3031092,2021-01-19,19,2021,19,9.7,-9.5,0.1,17.9,0.0,0.0,0.0,0.0
19,-114.01,51.12,CALGARY INTL A,3031092,2021-01-20,20,2021,20,4.4,-9.6,-2.6,20.6,0.0,0.0,0.0,0.0
20,-114.01,51.12,CALGARY INTL A,3031092,2021-01-21,21,2021,21,-1.4,-9.2,-5.3,23.3,0.0,0.0,0.0,0.0
21,-114.01,51.12,CALGARY INTL A,3031092,2021-01-22,22,2021,22,-3.2,-11.9,-7.6,25.6,0.0,0.0,0.0,0.0
22,-114.01,51.12,CALGARY INTL A,3031092,2021-01-23,23,2021,23,-2.6,-15.6,-9.1,27.1,0.0,0.0,0.2,0.2
23,-114.01,51.12,CALGARY INTL A,3031092,2021-01-24,24,2021,24,-13.3,-16.3,-14.8,32.8,0.0,0.0,0.4,0.4
24,-114.01,51.12,CALGARY INTL A,3031092,2021-01-25,25,2021,25,-13.7,-17.5,-15.6,33.6,0.0,0.0,0.8,0.8
25,-114.01,51.12,CALGARY INTL A,3031092,2021-01-26,26,2021,26,-12.7,-17.0,-14.9,32.9,0.0,0.0,1.4,1.1
26,-114.01,51.12,CALGARY INTL A,3031092,2021-01-27,27,2021,27,-11.8,-14.6,-13.2,31.2,0.0,0.0,4.6,1.4
27,-114.01,51.12,CALGARY INTL A,3031092,2021-01-28,28,2021,28,-13.2,-15.7,-14.5,32.5,0.0,0.0,0.3,0.3
28,-114.01,51.12,CALGARY INTL A,3031092,2021-01-29,29,2021,29,-5.9,-15.6,-10.8,28.8,0.0,0.0,0.0,0.0
29,-114.01,51.12,CALGARY INTL A,3031092,2021-01-30,30,2021,30,-0.1,-16.0,-8.1,26.1,0.0,0.0,0.0,0.0
30,-114.01,51.12,CALGARY INTL A,3031092,2021-01-31,31,2021,31,4.5,-12.0,-3.8,21.8,0.0,0.0,0.0,0.0
31,-114.01,51.12,CALGARY INTL A,3031092,2021-02-01,32,2021,1,9.4,-9.4,0.0,18.0,0.0,0.0,0.0,0.0
32,-114.01,51.12,CALGARY INTL A,3031092,2021-02-02,33,2021,2,-8.2,-13.2,-10.7,28.7,0.0,0.0,4.0,3.6
33,-114.01,51.12,CALGARY INTL A,3031092,2021-02-03,34,2021,3,-11.8,-19.1,-15.5,33.5,0.0,0.0,8.6,7.8
34,-114.01,51.12,CALGARY INTL A,3031092,2021-02-04,35,2021,4,0.6,-19.3,-9.4,27.4,0.0,0.0,0.8,0.4
35,-114.01,51.12,CALGARY INTL A,3031092,2021-02-05,36,2021,5,-6.6,-21.4,-14.0,32.0,0.0,0.0,5.8,3.4
36,-114.01,51.12,CALGARY INTL A,3031092,2021-02-06,37,2021,6,-19.8,-24.0,-21.9,39.9,0.0,0.0,3.3,2.8
37,-114.01,51.12,CALGARY INTL A,3031092,2021-02-07,38,2021,7,-23.2,-29.1,-26.2,44.2,0.0,0.0,0.0,0.0
38,-114.01,51.12,CALGARY INTL A,3031092,2021-02-08,39,2021,8,-23.8,-29.3,-26.6,44.6,0.0,0.0,0.2,0.2
39,-114.01,51.12,CALGARY INTL A,3031092,2021-02-09,40,2021,9,-24.3,-29.0,-26.7,44.7,0.0,0.0,0.0,0.0
40,-114.01,51.12,CALGARY INTL A,3031092,2021-02-10,41,2021,10,-26.0,-29.8,-27.9,45.9,0.0,0.0,0.0,0.0
41,-114.01,51.12,CALGARY INTL A,3031092,2021-02-11,42,2021,11,-24.9,-30.8,-27.9,45.9,0.0,0.0,0.0,0.0
42,-114.01,51.12,CALGARY INTL A,3031092,2021-02-12,43,2021,12,-17.7,-27.1,-22.4,40.4,0.0,0.0,0.6,0.2
43,-114.01,51.12,CALGARY INTL A,3031092,2021-02-13,44,2021,13,-6.280000000000001,-16.048,-11.184,29.184,0.0,0.0,0.0,0.0
44,-114.01,51.12,CALGARY INTL A,3031092,2021-02-14,45,2021,14,-6.280000000000001,-16.048,-11.184,29.184,0.0,0.0,0.0,0.0
45,-114.01,51.12,CALGARY INTL A,3031092,2021-02-15,46,2021,15,-6.280000000000001,-16.048,-11.184,29.184,0.0,0.0,0.0,0.0
46,-114.01,51.12,CALGARY INTL A,3031092,2021-02-16,47,2021,16,-4.7,-21.8,-13.3,31.3,0.0,0.0,3.3,3.1
47,-114.01,51.12,CALGARY INTL A,3031092,2021-02-17,48,2021,17,-6.2,-13.9,-10.1,28.1,0.0,0.0,0.4,0.4
48,-114.01,51.12,CALGARY INTL A,3031092,2021-02-18,49,2021,18,-3.3,-17.7,-10.5,28.5,0.0,0.0,0.0,0.0
49,-114.01,51.12,CALGARY INTL A,3031092,2021-02-19,50,2021,19,3.8,-6.1,-1.2,19.2,0.0,0.0,0.0,0.0
50,-114.01,51.12,CALGARY INTL A,3031092,2021-02-20,51,2021,20,3.4,-6.0,-1.3,19.3,0.0,0.0,0.0,0.0
51,-114.01,51.12,CALGARY INTL A,3031092,2021-02-21,52,2021,21,8.5,-0.9,3.8,14.2,0.0,0.0,0.0,0.0
52,-114.01,51.12,CALGARY INTL A,3031092,2021-02-22,53,2021,22,8.3,-1.1,3.6,14.4,0.0,0.0,4.0,3.8
53,-114.01,51.12,CALGARY INTL A,3031092,2021-02-23,54,2021,23,1.7,-4.8,-1.6,19.6,0.0,0.0,0.0,0.0
54,-114.01,51.12,CALGARY INTL A,3031092,2021-02-24,55,2021,24,1.8,-9.2,-3.7,21.7,0.0,0.0,0.0,0.0
55,-114.01,51.12,CALGARY INTL A,3031092,2021-02-25,56,2021,25,4.6,-2.7,1.0,17.0,0.0,0.0,0.0,0.0
56,-114.01,51.12,CALGARY INTL A,3031092,2021-02-26,57,2021,26,0.2,-13.2,-6.5,24.5,0.0,0.0,2.8,2.2
57,-114.01,51.12,CALGARY INTL A,3031092,2021-02-27,58,2021,27,-5.8,-14.6,-10.2,28.2,0.0,0.0,0.0,0.0
58,-114.01,51.12,CALGARY INTL A,3031092,2021-02-28,59,2021,28,7.0,-7.7,-0.4,18.4,0.0,0.0,0.0,0.0
59,-114.01,51.12,CALGARY INTL A,3031092,2021-03-01,60,2021,1,10.2,0.1,5.2,12.8,0.0,0.0,0.0,0.0
60,-114.01,51.12,CALGARY INTL A,3031092,2021-03-02,61,2021,2,6.4,-3.6,1.4,16.6,0.0,0.0,0.0,0.0
61,-114.01,51.12,CALGARY INTL A,3031092,2021-03-03,62,2021,3,8.6,-3.3,2.7,15.3,0.0,0.0,0.0,0.0
62,-114.01,51.12,CALGARY INTL A,3031092,2021-03-04,63,2021,4,10.8,-4.9,3.0,15.0,0.0,0.0,0.0,0.0
63,-114.01,51.12,CALGARY INTL A,3031092,2021-03-05,64,2021,5,9.039285714285713,-3.8321428571428564,2.6214285714285714,15.37857142857143,0.0,0.0,0.0,0.0
64,-114.01,51.12,CALGARY INTL A,3031092,2021-03-06,65,2021,6,5.7,-2.3,1.7,16.3,0.0,0.0,0.3,0.3
65,-114.01,51.12,CALGARY INTL A,3031092,2021-03-07,66,2021,7,7.6,-5.2,1.2,16.8,0.0,0.0,0.0,0.0
66,-114.01,51.12,CALGARY INTL A,3031092,2021-03-08,67,2021,8,5.7,-2.5,1.6,16.4,0.0,0.0,0.0,0.0
67,-114.01,51.12,CALGARY INTL A,3031092,2021-03-09,68,2021,9,5.9,-4.7,0.6,17.4,0.0,0.0,0.0,0.0
68,-114.01,51.12,CALGARY INTL A,3031092,2021-03-10,69,2021,10,9.039285714285713,-3.8321428571428564,2.6214285714285714,15.37857142857143,0.0,0.0,0.0,0.0
69,-114.01,51.12,CALGARY INTL A,3031092,2021-03-11,70,2021,11,9.039285714285713,-3.8321428571428564,2.6214285714285714,15.37857142857143,0.0,0.0,0.0,0.0
70,-114.01,51.12,CALGARY INTL A,3031092,2021-03-12,71,2021,12,13.7,-1.9,5.9,12.1,0.0,0.0,0.0,0.0
71,-114.01,51.12,CALGARY INTL A,3031092,2021-03-13,72,2021,13,15.4,-3.6,5.9,12.1,0.0,0.0,0.0,0.0
72,-114.01,51.12,CALGARY INTL A,3031092,2021-03-14,73,2021,14,18.7,-2.9,7.9,10.1,0.0,0.0,0.0,0.0
