,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Day_of_Year,Year,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
0,-114.01,51.12,CALGARY INTL A,3031092,2014-01-01,1,2014,1,-0.6,-9.7,-5.2,23.2,0.0,0.0,1.0,0.8
1,-114.01,51.12,CALGARY INTL A,3031092,2014-01-02,2,2014,2,8.5,-10.0,-0.8,18.8,0.0,0.0,0.0,0.0
2,-114.01,51.12,CALGARY INTL A,3031092,2014-01-03,3,2014,3,3.0,-11.0,-4.0,22.0,0.0,0.0,7.8,5.8
3,-114.01,51.12,CALGARY INTL A,3031092,2014-01-04,4,2014,4,-11.0,-21.9,-16.5,34.5,0.0,0.0,1.0,0.2
4,-114.01,51.12,CALGARY INTL A,3031092,2014-01-05,5,2014,5,-14.4,-25.5,-20.0,38.0,0.0,0.0,0.0,0.0
5,-114.01,51.12,CALGARY INTL A,3031092,2014-01-06,6,2014,6,3.4,-14.8,-5.7,23.7,0.0,0.0,0.0,0.0
6,-114.01,51.12,CALGARY INTL A,3031092,2014-01-07,7,2014,7,-3.0,-9.9,-6.5,24.5,0.0,0.0,0.0,0.0
7,-114.01,51.12,CALGARY INTL A,3031092,2014-01-08,8,2014,8,5.8,-11.4,-2.8,20.8,0.0,0.0,0.0,0.0
8,-114.01,51.12,CALGARY INTL A,3031092,2014-01-09,9,2014,9,4.6,-6.8,-1.1,19.1,0.0,0.0,0.0,0.0
9,-114.01,51.12,CALGARY INTL A,3031092,2014-01-10,10,2014,10,2.2,-7.7,-2.8,20.8,0.0,0.0,0.0,0.0
10,-114.01,51.12,CALGARY INTL A,3031092,2014-01-11,11,2014,11,7.8,-9.9,-1.1,19.1,0.0,0.0,0.0,0.0
11,-114.01,51.12,CALGARY INTL A,3031092,2014-01-12,12,2014,12,2.5,-8.3,-2.9,20.9,0.0,0.0,2.9,1.2
12,-114.01,51.12,CALGARY INTL A,3031092,2014-01-13,13,2014,13,6.0,-5.9,0.1,17.9,0.0,0.0,2.8,2.6
13,-114.01,51.12,CALGARY INTL A,3031092,2014-01-14,14,2014,14,8.6,-8.3,0.2,17.8,0.0,0.0,0.0,0.0
14,-114.01,51.12,CALGARY INTL A,3031092,2014-01-15,15,2014,15,9.0,-0.3,4.4,13.6,0.0,0.0,0.0,0.0
15,-114.01,51.12,CALGARY INTL A,3031092,2014-01-16,16,2014,16,9.1,-3.3,2.9,15.1,0.0,0.0,0.0,0.0
16,-114.01,51.12,CALGARY INTL A,3031092,2014-01-17,17,2014,17,9.8,-0.5,4.7,13.3,0.0,0.0,0.0,0.0
17,-114.01,51.12,CALGARY INTL A,3031092,2014-01-18,18,2014,18,12.8,-4.2,4.3,13.7,0.0,0.0,0.0,0.0
18,-114.01,51.12,CALGARY INTL A,3031092,2014-01-19,19,2014,19,6.6,-2.0,2.3,15.7,0.0,0.0,0.0,0.0
19,-114.01,51.12,CALGARY INTL A,3031092,2014-01-20,20,2014,20,4.2,-7.6,-1.7,19.7,0.0,0.0,0.0,0.0
20,-114.01,51.12,CALGARY INTL A,3031092,2014-01-21,21,2014,21,2.6,-5.4,-1.4,19.4,0.0,0.0,0.0,0.0
21,-114.01,51.12,CALGARY INTL A,3031092,2014-01-22,22,2014,22,-0.9,-8.2,-4.6,22.6,0.0,0.0,1.2,1.2
22,-114.01,51.12,CALGARY INTL A,3031092,2014-01-23,23,2014,23,8.9,-5.5,1.7,16.3,0.0,0.0,0.0,0.0
23,-114.01,51.12,CALGARY INTL A,3031092,2014-01-24,24,2014,24,12.4,0.9,6.7,11.3,0.0,0.0,0.0,0.0
24,-114.01,51.12,CALGARY INTL A,3031092,2014-01-25,25,2014,25,11.2,0.5,5.9,12.1,0.0,0.0,0.0,0.0
25,-114.01,51.12,CALGARY INTL A,3031092,2014-01-26,26,2014,26,3.5,-12.4,-4.5,22.5,0.0,0.0,0.0,0.0
26,-114.01,51.12,CALGARY INTL A,3031092,2014-01-27,27,2014,27,-7.6,-14.7,-11.2,29.2,0.0,0.0,0.0,0.0
27,-114.01,51.12,CALGARY INTL A,3031092,2014-01-28,28,2014,28,6.3,-12.5,-3.1,21.1,0.0,0.0,0.0,0.0
28,-114.01,51.12,CALGARY INTL A,3031092,2014-01-29,29,2014,29,2.8,-13.2,-5.2,23.2,0.0,0.0,6.4,3.2
29,-114.01,51.12,CALGARY INTL A,3031092,2014-01-30,30,2014,30,-11.9,-17.4,-14.7,32.7,0.0,0.0,0.0,0.0
30,-114.01,51.12,CALGARY INTL A,3031092,2014-01-31,31,2014,31,-7.2,-19.2,-13.2,31.2,0.0,0.0,0.2,0.2
