,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Day_of_Year,Year,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
0,-114.01,51.12,CALGARY INTL A,3031092,2018-01-01,1,2018,1,-1.3,-30.2,-15.8,33.8,0.0,0.0,0.0,0.0
1,-114.01,51.12,CALGARY INTL A,3031092,2018-01-02,2,2018,2,1.7,-10.6,-4.5,22.5,0.0,0.0,0.0,0.0
2,-114.01,51.12,CALGARY INTL A,3031092,2018-01-03,3,2018,3,5.5,-10.4,-2.5,20.5,0.0,0.0,0.0,0.0
3,-114.01,51.12,CALGARY INTL A,3031092,2018-01-04,4,2018,4,2.9,-12.7,-4.9,22.9,0.0,0.0,0.0,0.0
4,-114.01,51.12,CALGARY INTL A,3031092,2018-01-05,5,2018,5,9.2,-11.8,-1.3,19.3,0.0,0.0,0.0,0.0
5,-114.01,51.12,CALGARY INTL A,3031092,2018-01-06,6,2018,6,9.2,-1.5,3.9,14.1,0.0,0.0,0.0,0.0
6,-114.01,51.12,CALGARY INTL A,3031092,2018-01-07,7,2018,7,4.8,-6.8,-1.0,19.0,0.0,0.0,0.0,0.0
7,-114.01,51.12,CALGARY INTL A,3031092,2018-01-08,8,2018,8,7.4,-5.2,1.1,16.9,0.0,0.0,0.0,0.0
8,-114.01,51.12,CALGARY INTL A,3031092,2018-01-09,9,2018,9,-0.5,-18.0,-9.3,27.3,0.0,0.0,0.2,0.2
9,-114.01,51.12,CALGARY INTL A,3031092,2018-01-10,10,2018,10,-18.0,-24.7,-21.4,39.4,0.0,0.0,1.7,1.6
10,-114.01,51.12,CALGARY INTL A,3031092,2018-01-11,11,2018,11,-23.3,-27.6,-25.5,43.5,0.0,0.0,0.0,0.0
11,-114.01,51.12,CALGARY INTL A,3031092,2018-01-12,12,2018,12,-17.0,-24.8,-20.9,38.9,0.0,0.0,0.0,0.0
12,-114.01,51.12,CALGARY INTL A,3031092,2018-01-13,13,2018,13,4.1,-17.0,-6.5,24.5,0.0,0.0,0.0,0.0
13,-114.01,51.12,CALGARY INTL A,3031092,2018-01-14,14,2018,14,2.4,-8.4,-3.0,21.0,0.0,0.0,4.4,2.8
14,-114.01,51.12,CALGARY INTL A,3031092,2018-01-15,15,2018,15,-5.3,-10.4,-7.9,25.9,0.0,0.0,0.8,0.8
15,-114.01,51.12,CALGARY INTL A,3031092,2018-01-16,16,2018,16,9.6,-10.7,-0.6,18.6,0.0,0.0,0.0,0.0
16,-114.01,51.12,CALGARY INTL A,3031092,2018-01-17,17,2018,17,5.7,-3.1,1.3,16.7,0.0,0.0,0.0,0.0
17,-114.01,51.12,CALGARY INTL A,3031092,2018-01-18,18,2018,18,8.4,-4.0,2.2,15.8,0.0,0.0,0.0,0.0
18,-114.01,51.12,CALGARY INTL A,3031092,2018-01-19,19,2018,19,4.5,-7.9,-1.7,19.7,0.0,0.0,0.0,0.0
19,-114.01,51.12,CALGARY INTL A,3031092,2018-01-20,20,2018,20,4.9,-6.4,-0.8,18.8,0.0,0.0,0.0,0.0
20,-114.01,51.12,CALGARY INTL A,3031092,2018-01-21,21,2018,21,3.8,-7.6,-1.9,19.9,0.0,0.0,0.0,0.0
21,-114.01,51.12,CALGARY INTL A,3031092,2018-01-22,22,2018,22,5.0,-7.8,-1.4,19.4,0.0,0.0,0.0,0.0
22,-114.01,51.12,CALGARY INTL A,3031092,2018-01-23,23,2018,23,2.5,-11.1,-4.3,22.3,0.0,0.0,0.0,0.0
23,-114.01,51.12,CALGARY INTL A,3031092,2018-01-24,24,2018,24,5.4,-6.7,-0.7,18.7,0.0,0.0,0.0,0.0
24,-114.01,51.12,CALGARY INTL A,3031092,2018-01-25,25,2018,25,-7.0,-12.596666666666668,-6.2366666666666655,24.23666666666667,0.0,0.0,0.0,0.0
25,-114.01,51.12,CALGARY INTL A,3031092,2018-01-26,26,2018,26,-8.3,-14.0,-11.2,29.2,0.0,0.0,0.0,0.0
26,-114.01,51.12,CALGARY INTL A,3031092,2018-01-27,27,2018,27,-13.9,-18.1,-16.0,34.0,0.0,0.0,2.0,2.0
27,-114.01,51.12,CALGARY INTL A,3031092,2018-01-28,28,2018,28,-14.8,-19.1,-17.0,35.0,0.0,0.0,0.3,0.2
28,-114.01,51.12,CALGARY INTL A,3031092,2018-01-29,29,2018,29,7.9,-17.1,-4.6,22.6,0.0,0.0,0.0,0.0
29,-114.01,51.12,CALGARY INTL A,3031092,2018-01-30,30,2018,30,7.0,-5.5,0.8,17.2,0.0,0.0,0.2,0.2
30,-114.01,51.12,CALGARY INTL A,3031092,2018-01-31,31,2018,31,-4.7,-18.7,-11.7,29.7,0.0,0.0,1.4,0.7
31,-114.01,51.12,CALGARY INTL A,3031092,2018-02-01,32,2018,1,-12.7,-19.1,-15.9,33.9,0.0,0.0,0.0,0.0
32,-114.01,51.12,CALGARY INTL A,3031092,2018-02-02,33,2018,2,-17.9,-20.9,-19.4,37.4,0.0,0.0,0.7,0.4
33,-114.01,51.12,CALGARY INTL A,3031092,2018-02-03,34,2018,3,-18.7,-17.848148148148148,-11.644444444444446,29.644444444444442,0.0,0.0,7.4,6.5
34,-114.01,51.12,CALGARY INTL A,3031092,2018-02-04,35,2018,4,-8.2,-24.5,-16.4,34.4,0.0,0.0,4.4,3.8
35,-114.01,51.12,CALGARY INTL A,3031092,2018-02-05,36,2018,5,-11.7,-20.6,-16.2,34.2,0.0,0.0,0.0,0.0
36,-114.01,51.12,CALGARY INTL A,3031092,2018-02-06,37,2018,6,-10.9,-20.2,-15.6,33.6,0.0,0.0,0.0,0.0
37,-114.01,51.12,CALGARY INTL A,3031092,2018-02-07,38,2018,7,-8.7,-15.3,-12.0,30.0,0.0,0.0,7.2,6.2
38,-114.01,51.12,CALGARY INTL A,3031092,2018-02-08,39,2018,8,-15.1,-27.5,-21.3,39.3,0.0,0.0,13.2,11.4
39,-114.01,51.12,CALGARY INTL A,3031092,2018-02-09,40,2018,9,-11.4,-30.6,-21.0,39.0,0.0,0.0,0.0,0.0
40,-114.01,51.12,CALGARY INTL A,3031092,2018-02-10,41,2018,10,-3.7,-21.4,-12.6,30.6,0.0,0.0,0.0,0.0
41,-114.01,51.12,CALGARY INTL A,3031092,2018-02-11,42,2018,11,-7.1,-22.6,-14.9,32.9,0.0,0.0,3.1,2.6
42,-114.01,51.12,CALGARY INTL A,3031092,2018-02-12,43,2018,12,2.9,-29.2,-13.2,31.2,0.0,0.0,0.0,0.0
43,-114.01,51.12,CALGARY INTL A,3031092,2018-02-13,44,2018,13,9.7,1.9,5.8,12.2,0.0,0.0,0.0,0.0
44,-114.01,51.12,CALGARY INTL A,3031092,2018-02-14,45,2018,14,4.8,-14.6,-4.9,22.9,0.0,0.0,0.7,0.7
45,-114.01,51.12,CALGARY INTL A,3031092,2018-02-15,46,2018,15,-2.9,-18.1,-10.5,28.5,0.0,0.0,0.0,0.0
46,-114.01,51.12,CALGARY INTL A,3031092,2018-02-16,47,2018,16,-1.0,-9.2,-5.1,23.1,0.0,0.0,0.0,0.0
47,-114.01,51.12,CALGARY INTL A,3031092,2018-02-17,48,2018,17,-9.1,-14.1,-11.6,29.6,0.0,0.0,5.1,5.0
